title,date,location,year,month,season
Multi-Vehicle Pileup (Rain),2025-09-30,"Near Urse Toll Naka, Expressway, Pune, Maharashtra, India",2025,9,Monsoon
Speeding Bike vs Median (Kharadi),2025-09-15,"Kharadi-Mundhwa Bridge, Pune, Maharashtra, India",2025,9,Monsoon
Truck vs Car (Somatane),2025-09-01,"Near Somatane Phata, Old Highway, Pune, Maharashtra, India",2025,9,Monsoon
Pedestrian Fatality (Akurdi),2025-08-22,"Near Akurdi Railway Station, Pune, Maharashtra, India",2025,8,Monsoon
Scooter vs PMPML Bus (Old City),2025-08-10,"Near Shaniwar Wada, Pune, Maharashtra, India",2025,8,Monsoon
Car vs Electric Pole (Balewadi),2025-07-28,"Balewadi High Street, Pune, Maharashtra, India",2025,7,Monsoon
Delivery Executive Fatality (Viman Nagar),2025-07-15,"Near Symbiosis Law School, Pune, Maharashtra, India",2025,7,Monsoon
Hit-and-Run (Night Patrol Victim),2025-06-30,"Baner-Pashan Link Road, Pune, Maharashtra, India",2025,6,Monsoon
Heavy Vehicle Peak Hour Crash,2025-06-18,"Chandni Chowk, Pune, Maharashtra, India",2025,6,Monsoon
Two-Wheeler Skid on Oil Spill,2025-06-05,"Magarpatta City Main Road, Pune, Maharashtra, India",2025,6,Monsoon
MSRTC Bus vs Private Car (Hadapsar),2025-05-25,"Pune-Solapur Highway, Pune, Maharashtra, India",2025,5,Summer
Speeding Sedan Median Crash,2025-05-12,"Karve Road, near Deccan, Pune, Maharashtra, India",2025,5,Summer
Dumper Truck vs Cyclist (Chakan),2025-05-01,"Chakan-Ambethan Road, Pune, Maharashtra, India",2025,5,Summer
SUV vs Auto Rickshaw (Swargate),2025-04-20,"Swargate Underpass, Pune, Maharashtra, India",2025,4,Summer
Motorcycle vs Divider (Model Colony),2025-04-05,"Near Deep Bungalow Chowk, Pune, Maharashtra, India",2025,4,Summer
Truck Overturn (Ambegaon),2025-03-25,"Near Ambegaon, Bypass Highway, Pune, Maharashtra, India",2025,3,Summer
Pedestrian Hit (Elderly Woman),2025-03-12,"JM Road near Bal Gandharva, Pune, Maharashtra, India",2025,3,Summer
Car Plunges into Canal (Lonikand),2025-03-02,"Lonikand-Shikrapur Road, Pune, Maharashtra, India",2025,3,Summer
Two-Wheeler Run Over by Tanker,2025-02-20,"Moshi High Street, Pune, Maharashtra, India",2025,2,Winter
Hit-and-Run (Morning Walker),2025-02-05,"Koregaon Park Lane 1, Pune, Maharashtra, India",2025,2,Winter
Highway Barrier Crash (Khalapur),2025-01-25,"Khalapur Section (Pune side), Maharashtra, India",2025,1,Winter
Wrong Side Bike Collision (Hinjewadi),2025-01-10,"Hinjewadi Phase 3 Road, Pune, Maharashtra, India",2025,1,Winter
Drunk Driving Fatality (Camp),2024-12-28,"Near West End Cinema, Camp, Pune, Maharashtra, India",2024,12,Winter
Truck vs Jeep (Rural),2024-12-15,"Saswad-Jejuri Road, Pune, Maharashtra, India",2024,12,Winter
Bus vs Scooterist (Sangamwadi),2024-12-01,"Sangamwadi Bridge, Pune, Maharashtra, India",2024,12,Winter
Multi-Car Pileup (Fog),2024-11-20,"Talegaon Dabhade, Expressway, Pune, Maharashtra, India",2024,11,Winter
Auto Rickshaw Overturn (Market Yard),2024-11-08,"Market Yard Chowk, Pune, Maharashtra, India",2024,11,Winter
Speeding Car Hits Barrier (Bavdhan),2024-10-25,"Bavdhan Flyover, Pune, Maharashtra, India",2024,10,Winter
Motorcycle vs Divider (Vanaz),2024-10-10,"Near Vanaz Metro, Kothrud, Pune, Maharashtra, India",2024,10,Winter
Luxury Bus Brake Failure (Katraj),2024-09-25,"Katraj Ghat Section, Pune, Maharashtra, India",2024,9,Monsoon
Pedestrian Fatality (Nashik Highway),2024-09-12,"Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India",2024,9,Monsoon
Car vs Truck (Lonavala Exit),2024-08-28,"Near Lonavala Exit, Pune, Maharashtra, India",2024,8,Monsoon
Two-Wheeler Fatality (Nagar Road),2024-08-15,"Near Ivy Estate, Wagholi, Pune, Maharashtra, India",2024,8,Monsoon
Hit-and-Run (Delivery Boy),2024-08-01,"Mundhwa-Kharadi Road, Pune, Maharashtra, India",2024,8,Monsoon
Bus vs Two-Wheeler (Swargate),2024-07-18,"Jedhe Chowk, Swargate, Pune, Maharashtra, India",2024,7,Monsoon
Speeding Sedan Median Crash,2024-07-05,"Near Phoenix Mall, Viman Nagar, Pune, Maharashtra, India",2024,7,Monsoon
Motorcycle vs Divider (Baner),2024-06-20,"Baner-Balewadi Road, Pune, Maharashtra, India",2024,6,Monsoon
Truck vs Car (Shikrapur),2024-06-05,"Pune-Ahmednagar Highway, Pune, Maharashtra, India",2024,6,Monsoon
Two-Wheeler Pothole Fall,2024-05-25,"Near Golf Course, Yerawada, Pune, Maharashtra, India",2024,5,Summer
Speeding Car (Station Area),2024-05-10,"Near Pune Railway Station, Pune, Maharashtra, India",2024,5,Summer
Bus Accident (Dehu Road),2024-04-25,"Dehu Road Cantonment, Pune, Maharashtra, India",2024,4,Summer
Hit-and-Run (Jyoti Chowk),2024-04-10,"Kondhwa, Pune, Maharashtra, India",2024,4,Summer
Motorcycle vs Dumper (Pimpri),2024-03-25,"Pimpri Grade Separator, Pune, Maharashtra, India",2024,3,Summer
Car Median Collision (Baner Link),2024-03-10,"Baner-Pashan Link Road, Pune, Maharashtra, India",2024,3,Summer
Truck vs Jeep (Mulshi),2024-02-25,"Pune-Paud Road, Mulshi, Pune, Maharashtra, India",2024,2,Winter
Two-Wheeler Under Truck (Hadapsar),2024-02-10,"Hadapsar Flyover, Pune, Maharashtra, India",2024,2,Winter
Hit-and-Run (Raj Bhavan),2024-01-25,"University Road, Pune, Maharashtra, India",2024,1,Winter
Car vs Electric Pole (Datta Mandir),2024-01-10,"Viman Nagar, Pune, Maharashtra, India",2024,1,Winter
Bus Overturn (Varandha Ghat),2023-12-28,"Bhor, Pune, Maharashtra, India",2023,12,Winter
Bike vs Pedestrian (JM Road),2023-12-15,"Shivajinagar, Pune, Maharashtra, India",2023,12,Winter
Tanker vs Auto (Loni Kalbhor),2023-12-01,"Pune-Solapur Road, Pune, Maharashtra, India",2023,12,Winter
Motorcycle Skid on Sand,2023-11-18,"Wakad-Hinjewadi Road, Pune, Maharashtra, India",2023,11,Winter
Car Plunges into Gutter,2023-11-05,"Dhanori-Lohegaon Road, Pune, Maharashtra, India",2023,11,Winter
Truck vs Car (Urse Toll),2023-10-25,"Mumbai-Pune Expressway, Pune, Maharashtra, India",2023,10,Winter
Two-Wheeler Hit-and-Run (Kothrud),2023-10-12,"Chandni Chowk, Pune, Maharashtra, India",2023,10,Winter
School Bus Median Crash,2023-09-28,"Kondhwa-Katraj Road, Pune, Maharashtra, India",2023,9,Monsoon
Motorcycle vs Dumper (Bakori),2023-09-15,"Wagholi, Pune, Maharashtra, India",2023,9,Monsoon
Car Hits Divider (Phase 2),2023-09-02,"Hinjewadi, Pune, Maharashtra, India",2023,9,Monsoon
PMPML Bus Brake Failure (Wada),2023-08-20,"Shaniwar Wada Frontage, Pune, Maharashtra, India",2023,8,Monsoon
Truck Overturn (Khed Shivapur),2023-08-05,"Pune-Satara Road, Pune, Maharashtra, India",2023,8,Monsoon
Two-Wheeler Fatality (Akurdi),2023-07-22,"Khandoba Mal, Pune, Maharashtra, India",2023,7,Monsoon
Speeding Sedan vs Auto,2023-07-10,"Fatima Nagar Chowk, Pune, Maharashtra, India",2023,7,Monsoon
Highway Barrier Crash (Somatane),2023-06-25,"Old Mumbai-Pune Highway, Pune, Maharashtra, India",2023,6,Monsoon
Motorcycle vs Truck (Moshi),2023-06-12,"Moshi-Chakan Road, Pune, Maharashtra, India",2023,6,Monsoon
Hit-and-Run (MG Road),2023-05-30,"Camp, Pune, Maharashtra, India",2023,5,Summer
Car vs Pedestrian (Aundh),2023-05-15,"Bremen Chowk, Pune, Maharashtra, India",2023,5,Summer
Bus vs Two-Wheeler (Kondhwa),2023-04-30,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2023,4,Summer
Tanker vs Car (Manjari),2023-04-15,"Pune-Solapur Road, Pune, Maharashtra, India",2023,4,Summer
Motorcycle Skid (Morning Fog),2023-03-30,"Rakshak Chowk, Pune, Maharashtra, India",2023,3,Summer
Truck Hits Walk-over Bridge,2023-03-15,"Wadgaon Sheri, Pune, Maharashtra, India",2023,3,Summer
Drunk Driver Hit-and-Run (Lane 7),2023-02-28,"Kalyani Nagar, Pune, Maharashtra, India",2023,2,Winter
Two-Wheeler Fatal (Cantonment),2023-02-12,"Dehu Road Area, Pune, Maharashtra, India",2023,2,Winter
Car Plunges into Ditch (Pirangut),2023-01-30,"Mulshi Road, Pune, Maharashtra, India",2023,1,Winter
Multi-vehicle Pileup (Bypass),2023-01-15,"Navale Bridge, Pune, Maharashtra, India",2023,1,Winter
Bus vs Truck (Bhor Ghat),2022-12-28,"Mumbai-Pune Expressway, Pune, Maharashtra, India",2022,12,Winter
Motorcycle vs Auto (New Sangvi),2022-12-15,"Famous Chowk, Pune, Maharashtra, India",2022,12,Winter
Speeding Car Hits Barrier (Highway),2022-11-30,"Pashan-Wakad Highway, Pune, Maharashtra, India",2022,11,Winter
Shirur Midnight Truck-Car Collision,2026-02-14,"Nalge Vasti, Nhavare-Chaufula National Highway, Pune, Maharashtra, India",2026,2,Winter
Two-Wheeler Slip (Shirley Anthony Case),2026-02-02,"Bhaji Mandai Chowk, NDA Road, Uttamnagar, Pune, Maharashtra, India",2026,2,Winter
PMPML Bus vs Female Pedestrian,2026-02-02,"Aundh Road, near University Chowk, Pune, Maharashtra, India",2026,2,Winter
Nagar Road Triple Fatality,2026-02-01,"Near Wagholi Phata, Pune-Ahmednagar Road, Pune, Maharashtra, India",2026,2,Winter
Drunk School Bus Driver Crash,2026-02-12,"Bakori Road, Wagholi, Pune, Maharashtra, India",2026,2,Winter
Tanker Overturn (Gas Leak Scare),2026-02-04,"Khandala Ghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India",2026,2,Winter
IT Professional Bike Skid,2026-01-15,"Phase 3 Flyover, Hinjewadi, Pune, Maharashtra, India",2026,1,Winter
SUV vs Auto-Rickshaw,2026-01-10,"Moshi-Alandi Road, Pimpri-Chinchwad, Pune, Maharashtra, India",2026,1,Winter
MSRTC Bus Hits Median,2026-01-05,"Katraj Tunnel Approach Road, Pune, Maharashtra, India",2026,1,Winter
Pedestrian Run Over (Hit & Run),2025-12-28,"Khadi Machine Chowk, Kondhwa-Saswad Road, Pune, Maharashtra, India",2025,12,Winter
Multi-Car Pileup (Fog Related),2025-12-20,"Urse Toll Plaza, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,12,Winter
Concrete Mixer Truck Brake Failure,2025-12-15,"Navale Bridge (Self-Correction Point), Pune, Maharashtra, India",2025,12,Winter
Wrong-Side Car Collision,2025-12-08,"Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India",2025,12,Winter
College Student High-Speed Bike Crash,2025-11-30,"Pashan-Sus Link Road, Pune, Maharashtra, India",2025,11,Winter
Dumper Truck vs Bicycle (Child Victim),2025-11-22,"Phursungi IT Park Road, Pune, Maharashtra, India",2025,11,Winter
Luxury Sedan Divider Crash,2025-11-15,"Senapati Bapat Road, near Marriott Hotel, Pune, Maharashtra, India",2025,11,Winter
Tempo Traveller Overtake Accident,2025-11-05,"Hadapsar-Solapur Road, Pune, Maharashtra, India",2025,11,Winter
Bridge Wall Collision (Two-Wheeler),2025-10-25,"Sangamwadi Bridge, Pune, Maharashtra, India",2025,10,Winter
Garbage Compactor vs Pedestrian,2025-10-18,"Karve Road, Nal Stop Chowk, Pune, Maharashtra, India",2025,10,Winter
Tanker vs Private Bus (Head-on),2025-10-10,"Pune-Satara Road, Khed Shivapur, Pune, Maharashtra, India",2025,10,Winter
Delivery Partner Road Mishap,2025-09-28,"Viman Nagar, near Phoenix Mall, Pune, Maharashtra, India",2025,9,Monsoon
Car Plunges into Canal,2025-09-15,"Loni Kalbhor Canal Road, Pune, Maharashtra, India",2025,9,Monsoon
Pothole-Induced Bike Fall,2025-08-30,"Keshav Nagar, Mundhwa-Manjari Road, Pune, Maharashtra, India",2025,8,Monsoon
Tree Falling on Moving Car,2025-08-12,"Koregaon Park, North Main Road, Pune, Maharashtra, India",2025,8,Monsoon
School Van vs Mini-Truck,2025-08-05,"Dhayari Phata, Sinhagad Road, Pune, Maharashtra, India",2025,8,Monsoon
Indramani River Bridge Collapse Crash,2025-06-16,"Near Chikhali, Pimpri-Chinchwad, Pune, Maharashtra, India",2025,6,Monsoon
Two-Wheeler Fatal Slip (Oil Spill),2025-06-10,"Magarpatta City North Gate Road, Pune, Maharashtra, India",2025,6,Monsoon
Hit-and-Run (Senior Citizen),2025-05-25,"Model Colony, Deep Bungalow Chowk, Pune, Maharashtra, India",2025,5,Summer
Container Jackknife (10-hr Jam),2025-05-15,"Borghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,5,Summer
Bike vs Dumper (Fatal),2025-05-02,"Wagholi, near Lexicon International School, Pune, Maharashtra, India",2025,5,Summer
Car vs Electric Pole,2025-04-20,"Pimple Saudagar, Shivar Garden Road, Pune, Maharashtra, India",2025,4,Summer
Auto-Rickshaw Turtle Turn,2025-04-10,"Swargate Bus Stand Exit, Pune, Maharashtra, India",2025,4,Summer
Heavy Vehicle Peak-Hour Violation,2025-03-25,"Baner Phata, Pune, Maharashtra, India",2025,3,Summer
Nighttime Sedan Barrier Crash,2025-03-12,"Bavdhan Flyover, Mumbai-Bengaluru Highway, Pune, Maharashtra, India",2025,3,Summer
Pedestrian Fatality (Bhosari),2025-02-28,"Near Landewadi Chowk, Bhosari, Pune, Maharashtra, India",2025,2,Winter
Car vs Median (Drunk Driving),2025-02-18,"FC Road, near Goodluck Chowk, Pune, Maharashtra, India",2025,2,Winter
Tanker vs Bike (Tail-end),2025-02-05,"Chakan-Talegaon Road, Pune, Maharashtra, India",2025,2,Winter
SUV Overtake Gone Wrong,2025-01-22,"Pune-Solapur Highway, near Yavat, Pune, Maharashtra, India",2025,1,Winter
Motorcycle vs Divider (Speeding),2025-01-10,"Warje Flyover, Pune, Maharashtra, India",2025,1,Winter
Hit-and-Run (Morning Jogger),2024-12-30,"Race Course Road, Camp, Pune, Maharashtra, India",2024,12,Winter
Drunk Driver Rams Food Stall,2024-12-22,"Katraj-Dehu Road Bypass, Near Ambegaon, Pune, Maharashtra, India",2024,12,Winter
Car vs Truck Rear-end Collision,2024-12-12,"Kamshet Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India",2024,12,Winter
Two-Wheeler Run Over by Bus,2024-11-30,"Vishrantwadi Chowk, Pune, Maharashtra, India",2024,11,Winter
Diwali Firecracker Road Mishap,2024-11-03,"Ravet, near Mukai Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter
Audi Hit-and-Run (Delivery Boy),2024-10-12,"Mundhwa-Koregaon Park Road, Pune, Maharashtra, India",2024,10,Winter
Luxury Bus vs Small Car,2024-10-01,"Pashan-Sus Road, Pune, Maharashtra, India",2024,10,Winter
Motorcycle Head-on Collision,2024-09-15,"Paud Road, Bhugaon, Pune, Maharashtra, India",2024,9,Monsoon
Truck Brake Failure (Navale Bridge),2024-09-05,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2024,9,Monsoon
Bike Skid on Wet Road,2024-08-20,"Law College Road, Pune, Maharashtra, India",2024,8,Monsoon
Dumper vs Pedestrian,2024-08-10,"Alandi Road, Kalas, Pune, Maharashtra, India",2024,8,Monsoon
Car vs Divider (World Trade Center),2024-07-25,"Kharadi-Mundhwa Road, Pune, Maharashtra, India",2024,7,Monsoon
School Van Collision (Minor Injuries),2024-07-15,"Bibwewadi, Pune, Maharashtra, India",2024,7,Monsoon
Tanker Overturn (Khandala),2024-06-30,"Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India",2024,6,Monsoon
Two-Wheeler Pothole Fall,2024-06-20,"Yerawada, near Golf Course Road, Pune, Maharashtra, India",2024,6,Monsoon
Porsche Speeding Crash (Echo Case),2024-05-19,"Kalyani Nagar, Pune, Maharashtra, India",2024,5,Summer
Car Plunges into River (Sangamwadi),2024-05-10,"Sangamwadi-Yerawada Bridge, Pune, Maharashtra, India",2024,5,Summer
Truck vs Car (Shikrapur),2024-04-30,"Pune-Ahmednagar Road, Shikrapur, Pune, Maharashtra, India",2024,4,Summer
Motorcycle vs Divider (Kothrud),2024-04-15,"Karve Road, Kothrud, Pune, Maharashtra, India",2024,4,Summer
Bus vs Rickshaw (Swargate),2024-03-30,"Jedhe Chowk, Swargate, Pune, Maharashtra, India",2024,3,Summer
Hit-and-Run (Satara Road),2024-03-20,"Near Balajinagar, Satara Road, Pune, Maharashtra, India",2024,3,Summer
Car vs Truck Rear-end (Expressway),2024-03-05,"Near Lonavala Exit, Pune, Maharashtra, India",2024,3,Summer
Two-Wheeler Run Over (Chakan),2024-02-22,"Chakan-Ambethan Road, Pune, Maharashtra, India",2024,2,Winter
Private Bus Brake Failure,2024-02-12,"Katraj Ghat Section, Pune, Maharashtra, India",2024,2,Winter
Auto Rickshaw Overturn (Station),2024-01-28,"Near Pune Railway Station, Pune, Maharashtra, India",2024,1,Winter
Wrong-Side Bike Collision,2024-01-15,"Hinjewadi Phase 1, Shivaji Chowk, Pune, Maharashtra, India",2024,1,Winter
Dumper vs Motorcycle (Pimpri),2023-12-30,"Pimpri Grade Separator Road, Pune, Maharashtra, India",2023,12,Winter
Car Median Collision (Baner),2023-12-15,"Baner-Balewadi Road, Pune, Maharashtra, India",2023,12,Winter
Truck vs Jeep (Rural),2023-11-30,"Pune-Paud Road, Mulshi, Pune, Maharashtra, India",2023,11,Winter
Two-Wheeler Under Truck (Hadapsar),2023-11-18,"Hadapsar Flyover, Pune, Maharashtra, India",2023,11,Winter
Hit-and-Run (University Road),2023-11-05,"Near Raj Bhavan Gate, Pune, Maharashtra, India",2023,11,Winter
Car vs Electric Pole (Viman Nagar),2023-10-25,"Datta Mandir Chowk, Viman Nagar, Pune, Maharashtra, India",2023,10,Winter
Bus Overturn (Bhor),2023-10-10,"Varandha Ghat Road, Bhor, Pune, Maharashtra, India",2023,10,Winter
Bike vs Pedestrian (Shivajinagar),2023-09-28,"J.M. Road, Pune, Maharashtra, India",2023,9,Monsoon
Tanker vs Auto (Loni Kalbhor),2023-09-15,"Pune-Solapur Road, Pune, Maharashtra, India",2023,9,Monsoon
Motorcycle Skid on Sand,2023-09-02,"Wakad-Hinjewadi Road, Pune, Maharashtra, India",2023,9,Monsoon
Car Plunges into Gutter,2023-08-20,"Dhanori-Lohegaon Road, Pune, Maharashtra, India",2023,8,Monsoon
Truck vs Car (Expressway),2023-08-05,"Urse Toll Naka, Pune side, Maharashtra, India",2023,8,Monsoon
Two-Wheeler Hit-and-Run (Kothrud),2023-07-25,"Chandni Chowk, Pune, Maharashtra, India",2023,7,Monsoon
School Bus Median Crash,2023-07-12,"Kondhwa-Katraj Road, Pune, Maharashtra, India",2023,7,Monsoon
Motorcycle vs Dumper (Wagholi),2023-06-30,"Bakori Phata, Wagholi, Pune, Maharashtra, India",2023,6,Monsoon
Car Hits Divider (Hinjewadi),2023-06-15,"Near Infosys Phase 2, Hinjewadi, Pune, Maharashtra, India",2023,6,Monsoon
PMPML Bus Brake Failure,2023-06-02,"Shaniwar Wada Frontage, Pune, Maharashtra, India",2023,6,Monsoon
Truck Overturn (Khed Shivapur),2023-05-20,"Pune-Satara Road, Pune, Maharashtra, India",2023,5,Summer
Two-Wheeler Fatality (Akurdi),2023-05-05,"Khandoba Mal, Akurdi, Pune, Maharashtra, India",2023,5,Summer
Speeding Sedan vs Auto,2023-04-25,"Fatima Nagar Chowk, Pune, Maharashtra, India",2023,4,Summer
Highway Barrier Crash,2023-04-10,"Somatane Phata, Mumbai-Pune Expressway, Pune, Maharashtra, India",2023,4,Summer
Motorcycle vs Truck (Nashik Highway),2023-03-30,"Moshi-Chakan Road, Pune, Maharashtra, India",2023,3,Summer
Hit-and-Run (Camp),2023-03-15,"M.G. Road near West End, Pune, Maharashtra, India",2023,3,Summer
Car vs Pedestrian (Aundh),2023-02-28,"Bremen Chowk, Aundh, Pune, Maharashtra, India",2023,2,Winter
Bus vs Two-Wheeler (Bibwewadi),2023-02-12,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2023,2,Winter
Tanker vs Car (Solapur Road),2023-01-30,"Manjari Phata, Pune, Maharashtra, India",2023,1,Winter
Motorcycle Skid (Morning Fog),2023-01-15,"Pimple Saudagar-Rakshak Chowk, Pune, Maharashtra, India",2023,1,Winter
Truck Hits Walk-over Bridge,2022-12-28,"Wadgaon Sheri, Pune-Ahmednagar Road, Pune, Maharashtra, India",2022,12,Winter
Drunk Driver Hit-and-Run,2022-12-15,"Kalyani Nagar Lane 7, Pune, Maharashtra, India",2022,12,Winter
Two-Wheeler Fatal (Dehu Road),2022-11-30,"Dehu Road Cantonment Area, Pune, Maharashtra, India",2022,11,Winter
Car Plunges into Ditch,2022-11-15,"Pirangut Road, Mulshi, Pune, Maharashtra, India",2022,11,Winter
Multi-vehicle Pileup (Navale Bridge),2022-11-02,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2022,11,Winter
Bus vs Truck (Expressway),2022-10-25,"Bhor Ghat, Pune side, Maharashtra, India",2022,10,Winter
Motorcycle vs Auto (Sangvi),2022-10-10,"Famous Chowk, New Sangvi, Pune, Maharashtra, India",2022,10,Winter
Speeding Car Hits Barrier,2022-09-28,"Pashan-Wakad Highway Bridge, Pune, Maharashtra, India",2022,9,Monsoon
"Chain Collision (8 Dead, 14 Injured)",2025-11-13,"Navale Bridge, Pune-Bengaluru Highway, Pune, Maharashtra, India",2025,11,Winter
Muv Overboard (10 Women Killed),2025-08-11,"Near Mahadev Kundeshwar Temple, Khed Tehsil, Pune, Maharashtra, India",2025,8,Monsoon
Pothole Fall & Fatal Run-over (61-yr-old),2025-08-01,"Near MediPoint Hospital, Aundh, Pune, Maharashtra, India",2025,8,Monsoon
Truck Rams 25 Vehicles (1 Fatality),2025-07-26,"Near Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,7,Monsoon
Drunk Driver Rams Tea Stall (12 Injured),2025-06-01,"Near Goodluck Chowk, FC Road, Pune, Maharashtra, India",2025,6,Monsoon
Hoarding Collapse on 7 Two-Wheelers,2025-05-20,"Near RTO, Pune City, Pune, Maharashtra, India",2025,5,Summer
BMW Median Stall & Nuisance Arrest,2025-03-08,"Tilak Road, Pune, Maharashtra, India",2025,3,Summer
Symbiosis Students Highway Crash (2 Dead),2025-09-18,"Near Kiwale, Mumbai-Pune Highway, Pune, Maharashtra, India",2025,9,Monsoon
Diwali Hit-and-Run (Firecracker Case),2024-11-03,"Mukai Chowk, Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter
Pedestrian Fatality (Hit by Tempo),2026-02-11,"Khadi Machine Chowk, Kondhwa, Pune, Maharashtra, India",2026,2,Winter
Two-Wheeler Skids on Loose Gravel,2026-02-09,"Sus-Pashan Link Road, Pune, Maharashtra, India",2026,2,Winter
Luxury Bus vs Dumper,2026-02-05,"Near Katraj Tunnel, Satara Road, Pune, Maharashtra, India",2026,2,Winter
Wrong Side Car Crash (Minor Injured),2026-01-20,"Nashik Phata Flyover, Pimpri, Pune, Maharashtra, India",2026,1,Winter
Bicycle vs Cement Mixer,2026-01-12,"Wagholi-Bakori Road, Pune, Maharashtra, India",2026,1,Winter
School Van Overturns (10 Children),2025-12-22,"Near Blue Ridge, Hinjewadi Phase 1, Pune, Maharashtra, India",2025,12,Winter
Car Plunges into Gorge,2025-12-05,"Tamhini Ghat Section, Mulshi, Pune, Maharashtra, India",2025,12,Winter
Garbage Compactor Hit-and-Run,2025-11-25,"Sinhagad Road near Pu La Deshpande Park, Pune, Maharashtra, India",2025,11,Winter
Night Bus Hits Divider,2025-11-10,"Near Wakad Bridge, Mumbai-Bengaluru Highway, Pune, Maharashtra, India",2025,11,Winter
Auto Rickshaw vs SUV,2025-11-02,"Near Pune Railway Station South Gate, Pune, Maharashtra, India",2025,11,Winter
Car Hits Pedestrian at Zebra Crossing,2025-10-12,"University Chowk, Ganeshkhind Road, Pune, Maharashtra, India",2025,10,Winter
Multi-Vehicle Pileup (Rain-Slicked),2025-09-30,"Near Urse Toll Naka, Expressway, Pune, Maharashtra, India",2025,9,Monsoon
Speeding Bike vs Median,2025-09-15,"Kharadi-Mundhwa Bridge, Pune, Maharashtra, India",2025,9,Monsoon
Truck vs Car (Rear-end),2025-09-01,"Near Somatane Phata, Old Highway, Pune, Maharashtra, India",2025,9,Monsoon
Pedestrian Fatality (Akurdi),2025-08-22,"Near Akurdi Railway Station, Pimpri-Chinchwad, Pune, Maharashtra, India",2025,8,Monsoon
Scooter vs PMPML Bus,2025-08-10,"Near Shaniwar Wada, Pune, Maharashtra, India",2025,8,Monsoon
Car vs Electric Pole,2025-07-28,"Balewadi High Street, Pune, Maharashtra, India",2025,7,Monsoon
Delivery Executive Fatality,2025-07-15,"Viman Nagar near Symbiosis Law School, Pune, Maharashtra, India",2025,7,Monsoon
MSRTC Bus vs Private Car,2025-05-25,"Pune-Solapur Highway, near Hadapsar, Pune, Maharashtra, India",2025,5,Summer
Speeding Sedan Median Crash,2025-05-12,"Karve Road, near Deccan Gymkhana, Pune, Maharashtra, India",2025,5,Summer
Dumper Truck vs Cyclist,2025-05-01,"Chakan-Ambethan Road, Pune, Maharashtra, India",2025,5,Summer
SUV vs Auto Rickshaw,2025-04-20,"Swargate underpass, Pune, Maharashtra, India",2025,4,Summer
Motorcycle vs Divider,2025-04-05,"Model Colony, near Deep Bungalow Chowk, Pune, Maharashtra, India",2025,4,Summer
Truck Overturn (Gridlock),2025-03-25,"Katraj-Dehu Road Bypass near Ambegaon, Pune, Maharashtra, India",2025,3,Summer
Car Plunges into Canal,2025-03-02,"Lonikand-Shikrapur Road, Pune, Maharashtra, India",2025,3,Summer
Two-Wheeler Run Over by Tanker,2025-02-20,"Moshi High Street, Pimpri-Chinchwad, Pune, Maharashtra, India",2025,2,Winter
Highway Barrier Crash (Expressway),2025-01-25,"Khalapur Section (Pune side), Maharashtra, India",2025,1,Winter
Wrong Side Bike Collision,2025-01-10,"Hinjewadi Phase 3 Road, Pune, Maharashtra, India",2025,1,Winter
Drunk Driving Fatality,2024-12-28,"Camp, near West End Cinema, Pune, Maharashtra, India",2024,12,Winter
Bus vs Scooterist,2024-12-01,"Sangamwadi Bridge, Pune, Maharashtra, India",2024,12,Winter
Auto Rickshaw Overturn,2024-11-08,"Market Yard Chowk, Pune, Maharashtra, India",2024,11,Winter
Speeding Car Hits Barrier,2024-10-25,"Bavdhan Flyover, Pune, Maharashtra, India",2024,10,Winter
Motorcycle vs Divider (Speeding),2024-10-10,"Kothrud, near Vanaz Metro, Pune, Maharashtra, India",2024,10,Winter
Luxury Bus Brake Failure,2024-09-25,"Katraj Ghat Section, Pune, Maharashtra, India",2024,9,Monsoon
Pedestrian Fatality (Bhosari),2024-09-12,"Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India",2024,9,Monsoon
Car vs Truck (Expressway),2024-08-28,"Lonavala Exit, Pune side, Maharashtra, India",2024,8,Monsoon
Two-Wheeler Fatality (Wagholi),2024-08-15,"Near Ivy Estate, Nagar Road, Pune, Maharashtra, India",2024,8,Monsoon
Speeding Sedan Median Crash,2024-07-05,"Viman Nagar near Phoenix Mall, Pune, Maharashtra, India",2024,7,Monsoon
Truck vs Car (Shikrapur),2024-06-05,"Pune-Ahmednagar Highway, Shikrapur, Pune, Maharashtra, India",2024,6,Monsoon
