title,date,location
Truck vs Jeep (Rural),"Dec 15, 2024","Saswad-Jejuri Road, Pune, Maharashtra, India"
Bus vs Scooterist (Sangamwadi),"Dec 01, 2024","Sangamwadi Bridge, Pune, Maharashtra, India"
Multi-Car Pileup (Fog),"Nov 20, 2024","Talegaon Dabhade, Expressway, Pune, Maharashtra, India"
Auto Rickshaw Overturn (Market Yard),"Nov 08, 2024","Market Yard Chowk, Pune, Maharashtra, India"
Speeding Car Hits Barrier (Bavdhan),"Oct 25, 2024","Bavdhan Flyover, Pune, Maharashtra, India"
Motorcycle vs Divider (Vanaz),"Oct 10, 2024","Near Vanaz Metro, Kothrud, Pune, Maharashtra, India"
Luxury Bus Brake Failure (Katraj),"Sep 25, 2024","Katraj Ghat Section, Pune, Maharashtra, India"
Pedestrian Fatality (Nashik Highway),"Sep 12, 2024","Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India"
Car vs Truck (Lonavala Exit),"Aug 28, 2024","Near Lonavala Exit, Pune, Maharashtra, India"
Two-Wheeler Fatality (Nagar Road),"Aug 15, 2024","Near Ivy Estate, Wagholi, Pune, Maharashtra, India"
Hit-and-Run (Delivery Boy),"Aug 01, 2024","Mundhwa-Kharadi Road, Pune, Maharashtra, India"
Bus vs Two-Wheeler (Swargate),"Jul 18, 2024","Jedhe Chowk, Swargate, Pune, Maharashtra, India"
Speeding Sedan Median Crash,"Jul 05, 2024","Near Phoenix Mall, Viman Nagar, Pune, Maharashtra, India"
Motorcycle vs Divider (Baner),"Jun 20, 2024","Baner-Balewadi Road, Pune, Maharashtra, India"
Truck vs Car (Shikrapur),"Jun 05, 2024","Pune-Ahmednagar Highway, Pune, Maharashtra, India"
Two-Wheeler Pothole Fall,"May 25, 2024","Near Golf Course, Yerawada, Pune, Maharashtra, India"
Speeding Car (Station Area),"May 10, 2024","Near Pune Railway Station, Pune, Maharashtra, India"
Bus Accident (Dehu Road),"Apr 25, 2024","Dehu Road Cantonment, Pune, Maharashtra, India"
Hit-and-Run (Jyoti Chowk),"Apr 10, 2024","Kondhwa, Pune, Maharashtra, India"
Motorcycle vs Dumper (Pimpri),"Mar 25, 2024","Pimpri Grade Separator, Pune, Maharashtra, India"
Car Median Collision (Baner Link),"Mar 10, 2024","Baner-Pashan Link Road, Pune, Maharashtra, India"
Truck vs Jeep (Mulshi),"Feb 25, 2024","Pune-Paud Road, Mulshi, Pune, Maharashtra, India"
Two-Wheeler Under Truck (Hadapsar),"Feb 10, 2024","Hadapsar Flyover, Pune, Maharashtra, India"
Hit-and-Run (Raj Bhavan),"Jan 25, 2024","University Road, Pune, Maharashtra, India"
Car vs Electric Pole (Datta Mandir),"Jan 10, 2024","Viman Nagar, Pune, Maharashtra, India"
Bus Overturn (Varandha Ghat),"Dec 28, 2023","Bhor, Pune, Maharashtra, India"
Bike vs Pedestrian (JM Road),"Dec 15, 2023","Shivajinagar, Pune, Maharashtra, India"
Tanker vs Auto (Loni Kalbhor),"Dec 01, 2023","Pune-Solapur Road, Pune, Maharashtra, India"
Motorcycle Skid on Sand,"Nov 18, 2023","Wakad-Hinjewadi Road, Pune, Maharashtra, India"
Car Plunges into Gutter,"Nov 05, 2023","Dhanori-Lohegaon Road, Pune, Maharashtra, India"
Truck vs Car (Urse Toll),"Oct 25, 2023","Mumbai-Pune Expressway, Pune, Maharashtra, India"
Two-Wheeler Hit-and-Run (Kothrud),"Oct 12, 2023","Chandni Chowk, Pune, Maharashtra, India"
School Bus Median Crash,"Sep 28, 2023","Kondhwa-Katraj Road, Pune, Maharashtra, India"
Motorcycle vs Dumper (Bakori),"Sep 15, 2023","Wagholi, Pune, Maharashtra, India"
Car Hits Divider (Phase 2),"Sep 02, 2023","Hinjewadi, Pune, Maharashtra, India"
PMPML Bus Brake Failure (Wada),"Aug 20, 2023","Shaniwar Wada Frontage, Pune, Maharashtra, India"
Truck Overturn (Khed Shivapur),"Aug 05, 2023","Pune-Satara Road, Pune, Maharashtra, India"
Two-Wheeler Fatality (Akurdi),"Jul 22, 2023","Khandoba Mal, Pune, Maharashtra, India"
Speeding Sedan vs Auto,"Jul 10, 2023","Fatima Nagar Chowk, Pune, Maharashtra, India"
Highway Barrier Crash (Somatane),"Jun 25, 2023","Old Mumbai-Pune Highway, Pune, Maharashtra, India"
Motorcycle vs Truck (Moshi),"Jun 12, 2023","Moshi-Chakan Road, Pune, Maharashtra, India"
Hit-and-Run (MG Road),"May 30, 2023","Camp, Pune, Maharashtra, India"
Car vs Pedestrian (Aundh),"May 15, 2023","Bremen Chowk, Pune, Maharashtra, India"
Bus vs Two-Wheeler (Kondhwa),"Apr 30, 2023","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
Tanker vs Car (Manjari),"Apr 15, 2023","Pune-Solapur Road, Pune, Maharashtra, India"
Motorcycle Skid (Morning Fog),"Mar 30, 2023","Rakshak Chowk, Pune, Maharashtra, India"
Truck Hits Walk-over Bridge,"Mar 15, 2023","Wadgaon Sheri, Pune, Maharashtra, India"
Drunk Driver Hit-and-Run (Lane 7),"Feb 28, 2023","Kalyani Nagar, Pune, Maharashtra, India"
Two-Wheeler Fatal (Cantonment),"Feb 12, 2023","Dehu Road Area, Pune, Maharashtra, India"
Car Plunges into Ditch (Pirangut),"Jan 30, 2023","Mulshi Road, Pune, Maharashtra, India"
Multi-vehicle Pileup (Bypass),"Jan 15, 2023","Navale Bridge, Pune, Maharashtra, India"
Bus vs Truck (Bhor Ghat),"Dec 28, 2022","Mumbai-Pune Expressway, Pune, Maharashtra, India"
Motorcycle vs Auto (New Sangvi),"Dec 15, 2022","Famous Chowk, Pune, Maharashtra, India"
Speeding Car Hits Barrier (Highway),"Nov 30, 2022","Pashan-Wakad Highway, Pune, Maharashtra, India"
Shirur Midnight Truck-Car Collision,"Feb 14, 2026","Nalge Vasti, Nhavare-Chaufula National Highway, Pune, Maharashtra, India"
Two-Wheeler Slip (Shirley Anthony Case),"Feb 02, 2026","Bhaji Mandai Chowk, NDA Road, Uttamnagar, Pune, Maharashtra, India"
PMPML Bus vs Female Pedestrian,"Feb 02, 2026","Aundh Road, near University Chowk, Pune, Maharashtra, India"
Nagar Road Triple Fatality,"Feb 01, 2026","Near Wagholi Phata, Pune-Ahmednagar Road, Pune, Maharashtra, India"
Drunk School Bus Driver Crash,"Feb 12, 2026","Bakori Road, Wagholi, Pune, Maharashtra, India"
Tanker Overturn (Gas Leak Scare),"Feb 04, 2026","Khandala Ghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India"
IT Professional Bike Skid,"Jan 15, 2026","Phase 3 Flyover, Hinjewadi, Pune, Maharashtra, India"
SUV vs Auto-Rickshaw,"Jan 10, 2026","Moshi-Alandi Road, Pimpri-Chinchwad, Pune, Maharashtra, India"
MSRTC Bus Hits Median,"Jan 05, 2026","Katraj Tunnel Approach Road, Pune, Maharashtra, India"
Pedestrian Run Over (Hit & Run),"Dec 28, 2025","Khadi Machine Chowk, Kondhwa-Saswad Road, Pune, Maharashtra, India"
Multi-Car Pileup (Fog Related),"Dec 20, 2025","Urse Toll Plaza, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Concrete Mixer Truck Brake Failure,"Dec 15, 2025","Navale Bridge (Self-Correction Point), Pune, Maharashtra, India"
Wrong-Side Car Collision,"Dec 08, 2025","Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India"
College Student High-Speed Bike Crash,"Nov 30, 2025","Pashan-Sus Link Road, Pune, Maharashtra, India"
Dumper Truck vs Bicycle (Child Victim),"Nov 22, 2025","Phursungi IT Park Road, Pune, Maharashtra, India"
Luxury Sedan Divider Crash,"Nov 15, 2025","Senapati Bapat Road, near Marriott Hotel, Pune, Maharashtra, India"
Tempo Traveller Overtake Accident,"Nov 05, 2025","Hadapsar-Solapur Road, Pune, Maharashtra, India"
Bridge Wall Collision (Two-Wheeler),"Oct 25, 2025","Sangamwadi Bridge, Pune, Maharashtra, India"
Garbage Compactor vs Pedestrian,"Oct 18, 2025","Karve Road, Nal Stop Chowk, Pune, Maharashtra, India"
Tanker vs Private Bus (Head-on),"Oct 10, 2025","Pune-Satara Road, Khed Shivapur, Pune, Maharashtra, India"
Delivery Partner Road Mishap,"Sep 28, 2025","Viman Nagar, near Phoenix Mall, Pune, Maharashtra, India"
Car Plunges into Canal,"Sep 15, 2025","Loni Kalbhor Canal Road, Pune, Maharashtra, India"
Pothole-Induced Bike Fall,"Aug 30, 2025","Keshav Nagar, Mundhwa-Manjari Road, Pune, Maharashtra, India"
Tree Falling on Moving Car,"Aug 12, 2025","Koregaon Park, North Main Road, Pune, Maharashtra, India"
School Van vs Mini-Truck,"Aug 05, 2025","Dhayari Phata, Sinhagad Road, Pune, Maharashtra, India"
Indramani River Bridge Collapse Crash,"Jun 16, 2025","Near Chikhali, Pimpri-Chinchwad, Pune, Maharashtra, India"
Two-Wheeler Fatal Slip (Oil Spill),"Jun 10, 2025","Magarpatta City North Gate Road, Pune, Maharashtra, India"
Hit-and-Run (Senior Citizen),"May 25, 2025","Model Colony, Deep Bungalow Chowk, Pune, Maharashtra, India"
Container Jackknife (10-hr Jam),"May 15, 2025","Borghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Bike vs Dumper (Fatal),"May 02, 2025","Wagholi, near Lexicon International School, Pune, Maharashtra, India"
Car vs Electric Pole,"Apr 20, 2025","Pimple Saudagar, Shivar Garden Road, Pune, Maharashtra, India"
Auto-Rickshaw Turtle Turn,"Apr 10, 2025","Swargate Bus Stand Exit, Pune, Maharashtra, India"
Heavy Vehicle Peak-Hour Violation,"Mar 25, 2025","Baner Phata, Pune, Maharashtra, India"
Nighttime Sedan Barrier Crash,"Mar 12, 2025","Bavdhan Flyover, Mumbai-Bengaluru Highway, Pune, Maharashtra, India"
Pedestrian Fatality (Bhosari),"Feb 28, 2025","Near Landewadi Chowk, Bhosari, Pune, Maharashtra, India"
Car vs Median (Drunk Driving),"Feb 18, 2025","FC Road, near Goodluck Chowk, Pune, Maharashtra, India"
Tanker vs Bike (Tail-end),"Feb 05, 2025","Chakan-Talegaon Road, Pune, Maharashtra, India"
SUV Overtake Gone Wrong,"Jan 22, 2025","Pune-Solapur Highway, near Yavat, Pune, Maharashtra, India"
Motorcycle vs Divider (Speeding),"Jan 10, 2025","Warje Flyover, Pune, Maharashtra, India"
Hit-and-Run (Morning Jogger),"Dec 30, 2024","Race Course Road, Camp, Pune, Maharashtra, India"
Drunk Driver Rams Food Stall,"Dec 22, 2024","Katraj-Dehu Road Bypass, Near Ambegaon, Pune, Maharashtra, India"
Car vs Truck Rear-end Collision,"Dec 12, 2024","Kamshet Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Two-Wheeler Run Over by Bus,"Nov 30, 2024","Vishrantwadi Chowk, Pune, Maharashtra, India"
Diwali Firecracker Road Mishap,"Nov 03, 2024","Ravet, near Mukai Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India"
Audi Hit-and-Run (Delivery Boy),"Oct 12, 2024","Mundhwa-Koregaon Park Road, Pune, Maharashtra, India"
Luxury Bus vs Small Car,"Oct 01, 2024","Pashan-Sus Road, Pune, Maharashtra, India"
Motorcycle Head-on Collision,"Sep 15, 2024","Paud Road, Bhugaon, Pune, Maharashtra, India"
Truck Brake Failure (Navale Bridge),"Sep 05, 2024","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
Bike Skid on Wet Road,"Aug 20, 2024","Law College Road, Pune, Maharashtra, India"
Dumper vs Pedestrian,"Aug 10, 2024","Alandi Road, Kalas, Pune, Maharashtra, India"
Car vs Divider (World Trade Center),"Jul 25, 2024","Kharadi-Mundhwa Road, Pune, Maharashtra, India"
School Van Collision (Minor Injuries),"Jul 15, 2024","Bibwewadi, Pune, Maharashtra, India"
Tanker Overturn (Khandala),"Jun 30, 2024","Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Two-Wheeler Pothole Fall,"Jun 20, 2024","Yerawada, near Golf Course Road, Pune, Maharashtra, India"
Porsche Speeding Crash (Echo Case),"May 19, 2024","Kalyani Nagar, Pune, Maharashtra, India"
Car Plunges into River (Sangamwadi),"May 10, 2024","Sangamwadi-Yerawada Bridge, Pune, Maharashtra, India"
Truck vs Car (Shikrapur),"Apr 30, 2024","Pune-Ahmednagar Road, Shikrapur, Pune, Maharashtra, India"
Motorcycle vs Divider (Kothrud),"Apr 15, 2024","Karve Road, Kothrud, Pune, Maharashtra, India"
Bus vs Rickshaw (Swargate),"Mar 30, 2024","Jedhe Chowk, Swargate, Pune, Maharashtra, India"
Hit-and-Run (Satara Road),"Mar 20, 2024","Near Balajinagar, Satara Road, Pune, Maharashtra, India"
Car vs Truck Rear-end (Expressway),"Mar 05, 2024","Near Lonavala Exit, Pune, Maharashtra, India"
Two-Wheeler Run Over (Chakan),"Feb 22, 2024","Chakan-Ambethan Road, Pune, Maharashtra, India"
Private Bus Brake Failure,"Feb 12, 2024","Katraj Ghat Section, Pune, Maharashtra, India"
Auto Rickshaw Overturn (Station),"Jan 28, 2024","Near Pune Railway Station, Pune, Maharashtra, India"
Wrong-Side Bike Collision,"Jan 15, 2024","Hinjewadi Phase 1, Shivaji Chowk, Pune, Maharashtra, India"
Dumper vs Motorcycle (Pimpri),"Dec 30, 2023","Pimpri Grade Separator Road, Pune, Maharashtra, India"
Car Median Collision (Baner),"Dec 15, 2023","Baner-Balewadi Road, Pune, Maharashtra, India"
Truck vs Jeep (Rural),"Nov 30, 2023","Pune-Paud Road, Mulshi, Pune, Maharashtra, India"
Two-Wheeler Under Truck (Hadapsar),"Nov 18, 2023","Hadapsar Flyover, Pune, Maharashtra, India"
Hit-and-Run (University Road),"Nov 05, 2023","Near Raj Bhavan Gate, Pune, Maharashtra, India"
Car vs Electric Pole (Viman Nagar),"Oct 25, 2023","Datta Mandir Chowk, Viman Nagar, Pune, Maharashtra, India"
Bus Overturn (Bhor),"Oct 10, 2023","Varandha Ghat Road, Bhor, Pune, Maharashtra, India"
Bike vs Pedestrian (Shivajinagar),"Sep 28, 2023","J.M. Road, Pune, Maharashtra, India"
Tanker vs Auto (Loni Kalbhor),"Sep 15, 2023","Pune-Solapur Road, Pune, Maharashtra, India"
Motorcycle Skid on Sand,"Sep 02, 2023","Wakad-Hinjewadi Road, Pune, Maharashtra, India"
Car Plunges into Gutter,"Aug 20, 2023","Dhanori-Lohegaon Road, Pune, Maharashtra, India"
Truck vs Car (Expressway),"Aug 05, 2023","Urse Toll Naka, Pune side, Maharashtra, India"
Two-Wheeler Hit-and-Run (Kothrud),"Jul 25, 2023","Chandni Chowk, Pune, Maharashtra, India"
School Bus Median Crash,"Jul 12, 2023","Kondhwa-Katraj Road, Pune, Maharashtra, India"
Motorcycle vs Dumper (Wagholi),"Jun 30, 2023","Bakori Phata, Wagholi, Pune, Maharashtra, India"
Car Hits Divider (Hinjewadi),"Jun 15, 2023","Near Infosys Phase 2, Hinjewadi, Pune, Maharashtra, India"
PMPML Bus Brake Failure,"Jun 02, 2023","Shaniwar Wada Frontage, Pune, Maharashtra, India"
Truck Overturn (Khed Shivapur),"May 20, 2023","Pune-Satara Road, Pune, Maharashtra, India"
Two-Wheeler Fatality (Akurdi),"May 05, 2023","Khandoba Mal, Akurdi, Pune, Maharashtra, India"
Speeding Sedan vs Auto,"Apr 25, 2023","Fatima Nagar Chowk, Pune, Maharashtra, India"
Highway Barrier Crash,"Apr 10, 2023","Somatane Phata, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Motorcycle vs Truck (Nashik Highway),"Mar 30, 2023","Moshi-Chakan Road, Pune, Maharashtra, India"
Hit-and-Run (Camp),"Mar 15, 2023","M.G. Road near West End, Pune, Maharashtra, India"
Car vs Pedestrian (Aundh),"Feb 28, 2023","Bremen Chowk, Aundh, Pune, Maharashtra, India"
Bus vs Two-Wheeler (Bibwewadi),"Feb 12, 2023","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
Tanker vs Car (Solapur Road),"Jan 30, 2023","Manjari Phata, Pune, Maharashtra, India"
Motorcycle Skid (Morning Fog),"Jan 15, 2023","Pimple Saudagar-Rakshak Chowk, Pune, Maharashtra, India"
Truck Hits Walk-over Bridge,"Dec 28, 2022","Wadgaon Sheri, Pune-Ahmednagar Road, Pune, Maharashtra, India"
Drunk Driver Hit-and-Run,"Dec 15, 2022","Kalyani Nagar Lane 7, Pune, Maharashtra, India"
Two-Wheeler Fatal (Dehu Road),"Nov 30, 2022","Dehu Road Cantonment Area, Pune, Maharashtra, India"
Car Plunges into Ditch,"Nov 15, 2022","Pirangut Road, Mulshi, Pune, Maharashtra, India"
Multi-vehicle Pileup (Navale Bridge),"Nov 02, 2022","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
Bus vs Truck (Expressway),"Oct 25, 2022","Bhor Ghat, Pune side, Maharashtra, India"
Motorcycle vs Auto (Sangvi),"Oct 10, 2022","Famous Chowk, New Sangvi, Pune, Maharashtra, India"
Speeding Car Hits Barrier,"Sep 28, 2022","Pashan-Wakad Highway Bridge, Pune, Maharashtra, India"
"Chain Collision (8 Dead, 14 Injured)","Nov 13, 2025","Navale Bridge, Pune-Bengaluru Highway, Pune, Maharashtra, India"
Muv Overboard (10 Women Killed),"Aug 11, 2025","Near Mahadev Kundeshwar Temple, Khed Tehsil, Pune, Maharashtra, India"
Pothole Fall & Fatal Run-over (61-yr-old),"Aug 01, 2025","Near MediPoint Hospital, Aundh, Pune, Maharashtra, India"
Truck Rams 25 Vehicles (1 Fatality),"Jul 26, 2025","Near Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Drunk Driver Rams Tea Stall (12 Injured),"Jun 01, 2025","Near Goodluck Chowk, FC Road, Pune, Maharashtra, India"
Hoarding Collapse on 7 Two-Wheelers,"May 20, 2025","Near RTO, Pune City, Pune, Maharashtra, India"
BMW Median Stall & Nuisance Arrest,"Mar 08, 2025","Tilak Road, Pune, Maharashtra, India"
Symbiosis Students Highway Crash (2 Dead),"Sep 18, 2025","Near Kiwale, Mumbai-Pune Highway, Pune, Maharashtra, India"
Diwali Hit-and-Run (Firecracker Case),"Nov 03, 2024","Mukai Chowk, Ravet, Pimpri-Chinchwad, Pune, Maharashtra, India"
Pedestrian Fatality (Hit by Tempo),"Feb 11, 2026","Khadi Machine Chowk, Kondhwa, Pune, Maharashtra, India"
Two-Wheeler Skids on Loose Gravel,"Feb 09, 2026","Sus-Pashan Link Road, Pune, Maharashtra, India"
Luxury Bus vs Dumper,"Feb 05, 2026","Near Katraj Tunnel, Satara Road, Pune, Maharashtra, India"
Wrong Side Car Crash (Minor Injured),"Jan 20, 2026","Nashik Phata Flyover, Pimpri, Pune, Maharashtra, India"
Bicycle vs Cement Mixer,"Jan 12, 2026","Wagholi-Bakori Road, Pune, Maharashtra, India"
School Van Overturns (10 Children),"Dec 22, 2025","Near Blue Ridge, Hinjewadi Phase 1, Pune, Maharashtra, India"
Car Plunges into Gorge,"Dec 05, 2025","Tamhini Ghat Section, Mulshi, Pune, Maharashtra, India"
Garbage Compactor Hit-and-Run,"Nov 25, 2025","Sinhagad Road near Pu La Deshpande Park, Pune, Maharashtra, India"
Night Bus Hits Divider,"Nov 10, 2025","Near Wakad Bridge, Mumbai-Bengaluru Highway, Pune, Maharashtra, India"
Auto Rickshaw vs SUV,"Nov 02, 2025","Near Pune Railway Station South Gate, Pune, Maharashtra, India"
Car Hits Pedestrian at Zebra Crossing,"Oct 12, 2025","University Chowk, Ganeshkhind Road, Pune, Maharashtra, India"
Multi-Vehicle Pileup (Rain-Slicked),"Sep 30, 2025","Near Urse Toll Naka, Expressway, Pune, Maharashtra, India"
Speeding Bike vs Median,"Sep 15, 2025","Kharadi-Mundhwa Bridge, Pune, Maharashtra, India"
Truck vs Car (Rear-end),"Sep 01, 2025","Near Somatane Phata, Old Highway, Pune, Maharashtra, India"
Pedestrian Fatality (Akurdi),"Aug 22, 2025","Near Akurdi Railway Station, Pimpri-Chinchwad, Pune, Maharashtra, India"
Scooter vs PMPML Bus,"Aug 10, 2025","Near Shaniwar Wada, Pune, Maharashtra, India"
Car vs Electric Pole,"Jul 28, 2025","Balewadi High Street, Pune, Maharashtra, India"
Delivery Executive Fatality,"Jul 15, 2025","Viman Nagar near Symbiosis Law School, Pune, Maharashtra, India"
MSRTC Bus vs Private Car,"May 25, 2025","Pune-Solapur Highway, near Hadapsar, Pune, Maharashtra, India"
Speeding Sedan Median Crash,"May 12, 2025","Karve Road, near Deccan Gymkhana, Pune, Maharashtra, India"
Dumper Truck vs Cyclist,"May 01, 2025","Chakan-Ambethan Road, Pune, Maharashtra, India"
SUV vs Auto Rickshaw,"Apr 20, 2025","Swargate underpass, Pune, Maharashtra, India"
Motorcycle vs Divider,"Apr 05, 2025","Model Colony, near Deep Bungalow Chowk, Pune, Maharashtra, India"
Truck Overturn (Gridlock),"Mar 25, 2025","Katraj-Dehu Road Bypass near Ambegaon, Pune, Maharashtra, India"
Car Plunges into Canal,"Mar 02, 2025","Lonikand-Shikrapur Road, Pune, Maharashtra, India"
Two-Wheeler Run Over by Tanker,"Feb 20, 2025","Moshi High Street, Pimpri-Chinchwad, Pune, Maharashtra, India"
Highway Barrier Crash (Expressway),"Jan 25, 2025","Khalapur Section (Pune side), Maharashtra, India"
Wrong Side Bike Collision,"Jan 10, 2025","Hinjewadi Phase 3 Road, Pune, Maharashtra, India"
Drunk Driving Fatality,"Dec 28, 2024","Camp, near West End Cinema, Pune, Maharashtra, India"
Bus vs Scooterist,"Dec 01, 2024","Sangamwadi Bridge, Pune, Maharashtra, India"
Auto Rickshaw Overturn,"Nov 08, 2024","Market Yard Chowk, Pune, Maharashtra, India"
Speeding Car Hits Barrier,"Oct 25, 2024","Bavdhan Flyover, Pune, Maharashtra, India"
Motorcycle vs Divider (Speeding),"Oct 10, 2024","Kothrud, near Vanaz Metro, Pune, Maharashtra, India"
Luxury Bus Brake Failure,"Sep 25, 2024","Katraj Ghat Section, Pune, Maharashtra, India"
Pedestrian Fatality (Bhosari),"Sep 12, 2024","Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India"
Car vs Truck (Expressway),"Aug 28, 2024","Lonavala Exit, Pune side, Maharashtra, India"
Two-Wheeler Fatality (Wagholi),"Aug 15, 2024","Near Ivy Estate, Nagar Road, Pune, Maharashtra, India"
Speeding Sedan Median Crash,"Jul 05, 2024","Viman Nagar near Phoenix Mall, Pune, Maharashtra, India"
Truck vs Car (Shikrapur),"Jun 05, 2024","Pune-Ahmednagar Highway, Shikrapur, Pune, Maharashtra, India"
Two-Wheeler Pothole Fall,"May 25, 2024","Yerawada, near Golf Course Road, Pune, Maharashtra, India"
Speeding Car (Pune Station),"May 10, 2024","Near Pune Railway Station, Pune, Maharashtra, India"
Bus Accident (Old Highway),"Apr 25, 2024","Dehu Road Cantonment, Pune, Maharashtra, India"
Hit-and-Run (Kondhwa),"Apr 10, 2024","Jyoti Chowk, Kondhwa, Pune, Maharashtra, India"
Motorcycle vs Dumper (Pimpri),"Mar 25, 2024","Pimpri Grade Separator Road, Pune, Maharashtra, India"
Car Median Collision (Baner),"Mar 10, 2024","Baner-Pashan Link Road, Pune, Maharashtra, India"
Hit-and-Run (University Road),"Jan 25, 2024","Near Raj Bhavan Gate, Pune, Maharashtra, India"
Car vs Electric Pole (Viman Nagar),"Jan 10, 2024","Datta Mandir Chowk, Viman Nagar, Pune, Maharashtra, India"
Bus Overturn (Bhor),"Dec 28, 2023","Varandha Ghat Road, Bhor, Pune, Maharashtra, India"
Bike vs Pedestrian (Shivajinagar),"Dec 15, 2023","J.M. Road, Pune, Maharashtra, India"
Truck vs Car (Expressway),"Oct 25, 2023","Urse Toll Naka, Pune side, Maharashtra, India"
Motorcycle vs Dumper (Wagholi),"Sep 15, 2023","Bakori Phata, Wagholi, Pune, Maharashtra, India"
Car Hits Divider (Hinjewadi),"Sep 02, 2023","Near Infosys Phase 2, Hinjewadi, Pune, Maharashtra, India"
PMPML Bus Brake Failure,"Aug 20, 2023","Shaniwar Wada Frontage, Pune, Maharashtra, India"
Two-Wheeler Fatality (Akurdi),"Jul 22, 2023","Khandoba Mal, Akurdi, Pune, Maharashtra, India"
Highway Barrier Crash,"Jun 25, 2023","Somatane Phata, Mumbai-Pune Expressway, Pune, Maharashtra, India"
Motorcycle vs Truck (Nashik Highway),"Jun 12, 2023","Moshi-Chakan Road, Pune, Maharashtra, India"
Hit-and-Run (Camp),"May 30, 2023","M.G. Road near West End, Pune, Maharashtra, India"
Car vs Pedestrian (Aundh),"May 15, 2023","Bremen Chowk, Aundh, Pune, Maharashtra, India"
Bus vs Two-Wheeler (Bibwewadi),"Apr 30, 2023","Bibwewadi-Kondhwa Road, Pune, Maharashtra, India"
Tanker vs Car (Solapur Road),"Apr 15, 2023","Manjari Phata, Pune, Maharashtra, India"
Motorcycle Skid (Morning Fog),"Mar 30, 2023","Pimple Saudagar-Rakshak Chowk, Pune, Maharashtra, India"
Truck Hits Walk-over Bridge,"Mar 15, 2023","Wadgaon Sheri, Nagar Road, Pune, Maharashtra, India"
Drunk Driver Hit-and-Run,"Feb 28, 2023","Kalyani Nagar Lane 7, Pune, Maharashtra, India"
Two-Wheeler Fatal (Dehu Road),"Feb 12, 2023","Dehu Road Cantonment Area, Pune, Maharashtra, India"
Car Plunges into Ditch,"Jan 30, 2023","Pirangut Road, Mulshi, Pune, Maharashtra, India"
Multi-vehicle Pileup (Navale Bridge),"Jan 15, 2023","Katraj-Dehu Road Bypass, Pune, Maharashtra, India"
Bus vs Truck (Expressway),"Dec 28, 2022","Bhor Ghat, Pune side, Maharashtra, India"
Motorcycle vs Auto (Sangvi),"Dec 15, 2022","Famous Chowk, New Sangvi, Pune, Maharashtra, India"
