title,date,location,year,month,season,lat,lon
Baner-Balewadi Median Collision,2023-12-15,"Balewadi Road, Pune, Maharashtra, India",2023,12,Winter,18.5665888,73.7867479
Mulshi Pune-Paud Jeep Hit,2023-11-30,"Paud Road, Mulshi, Pune, Maharashtra, India",2023,11,Winter,18.5073253,73.7882575
Hadapsar Flyover Two-Wheeler Fatal,2023-11-18,"Solapur Road Flyover, Pune, Maharashtra, India",2023,11,Winter,18.5017449,73.9305685
Raj Bhavan Gate Hit-and-Run,2023-11-05,"University Road, Pune, Maharashtra, India",2023,11,Winter,18.5330098,73.8416287
Viman Nagar Datta Mandir Crash,2023-10-25,"Viman Nagar, Pune, Maharashtra, India",2023,10,Winter,18.5678553,73.9143637
J.M. Road Pedestrian Bike Hit,2023-09-28,"Shivajinagar, Pune, Maharashtra, India",2023,9,Monsoon,18.530263,73.84985879999999
Wakad-Hinjewadi Sand Skid,2023-09-02,"Wakad Road, Pune, Maharashtra, India",2023,9,Monsoon,18.5886986,73.7778724
Dhanori-Lohegaon Gutter Plunge,2023-08-20,"Lohegaon Road, Pune, Maharashtra, India",2023,8,Monsoon,18.5943159,73.9376665
Chandni Chowk Hit-and-Run,2023-07-25,"Kothrud Bypass, Pune, Maharashtra, India",2023,7,Monsoon,18.4991101,73.8191423
Moshi-Chakan Truck-Bike,2023-06-12,"Nashik Highway, Moshi, Pune, Maharashtra, India",2023,6,Monsoon,18.6720381,73.8484291
Bremen Chowk Car vs Pedestrian,2023-02-28,"Aundh, Pune, Maharashtra, India",2023,2,Winter,18.5601649,73.8031335
Kirloskar Company Jejuri Crash,2025-06-18,"Jejuri-Morgaon Road, Pune, Maharashtra, India",2025,6,Monsoon,18.275568,74.2937295
Wadgaon Bridge 25-Vehicle Pileup,2025-11-13,"Navale Bridge Bypass, Pune, Maharashtra, India",2025,11,Winter,18.459773,73.8236242
Dumper vs IT Engineer (Fatal),2024-09-24,"Viman Nagar Chowk, Nagar Road, Pune, Maharashtra, India",2024,9,Monsoon,18.560837,73.9183522
Speeding Biker BRT Railing Collision,2025-11-08,"Mankar Chowk, Wakad BRT Lane, Pune, Maharashtra, India",2025,11,Winter,18.589713,73.774351
Truck Hits Walk-over Bridge Pillar,2023-03-15,"Wadgaon Sheri, Nagar Road, Pune, Maharashtra, India",2023,3,Summer,18.5608041,73.9181975
PMPML Bus vs Senior Citizen,2026-02-02,"Near Bremen Chowk, Aundh Road, Pune, Maharashtra, India",2026,2,Winter,18.559178,73.816039
Double Sister Fatality (Truck Hit),2026-01-14,"Talawade-Triveni Nagar Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India",2026,1,Winter,18.6685177,73.7856865
Auto Rickshaw vs Drunk Driver SUV,2025-12-30,"Near Jyoti Chowk, Kondhwa, Pune, Maharashtra, India",2025,12,Winter,18.4726176,73.8874548
Expressway Multi-Car Pileup,2025-12-24,"Near Adoshi Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,12,Winter,18.7693125,73.4043386
Cement Mixer vs Bicycle (Student),2026-01-12,"Bakori Road, Wagholi, Pune, Maharashtra, India",2026,1,Winter,18.5936066,74.0129981
Two-Wheeler Slip (Shirley Anthony Case),2026-01-24,"Bhaji Mandai Chowk, NDA Road, Pune, Maharashtra, India",2026,1,Winter,18.4735982,73.7932857
Speeding Sedan Median Crash,2026-02-10,"Pashan-Sus Link Road, Pune, Maharashtra, India",2026,2,Winter,18.5426508,73.7899978
Container Brake Failure (Navale Bridge),2025-11-13,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2025,11,Winter,18.5057992,73.7920547
Luxury Bus vs Dumper (Katraj),2026-02-05,"Near Katraj Tunnel, Satara Road, Pune, Maharashtra, India",2026,2,Winter,17.7217895,74.2580747
Motorcycle Head-on Collision,2026-01-28,"Paud-Pirangut Road, Mulshi, Pune, Maharashtra, India",2026,1,Winter,18.5130032,73.67793820000001
Wrong Side Car Crash,2026-01-20,"Nashik Phata Flyover, Pimpri, Pune, Maharashtra, India",2026,1,Winter,18.6073328,73.8223016
School Van Overturns,2025-12-22,"Near Blue Ridge, Hinjewadi Phase 1, Pune, Maharashtra, India",2025,12,Winter,18.5786825,73.73703309999999
Dumper Truck vs Female Commuter,2025-12-14,"Vishrantwadi-Alandi Road, Pune, Maharashtra, India",2025,12,Winter,18.5704323,73.8784178
Car Plunges into Gorge (Tamhini),2025-12-05,"Tamhini Ghat Section, Mulshi, Pune, Maharashtra, India",2025,12,Winter,18.4759109,73.45924169999999
Garbage Compactor Hit-and-Run,2025-11-25,"Sinhagad Road, near Pu La Deshpande Park, Pune, Maharashtra, India",2025,11,Winter,18.4571619,73.8033639
Tanker Brake Failure (Expressway),2025-11-18,"Bhor Ghat, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,11,Winter,18.7693125,73.4043386
Night Bus Hits Divider (Wakad),2025-11-10,"Near Wakad Bridge, Highway, Pune, Maharashtra, India",2025,11,Winter,18.5869809,73.7591762
Auto Rickshaw vs SUV (Station),2025-11-02,"Pune Railway Station South Gate, Pune, Maharashtra, India",2025,11,Winter,18.5065995,73.92844769999999
Two-Wheeler Fatality (No Helmet),2025-10-20,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2025,10,Winter,18.4816683,73.8761181
Car Hits Pedestrian (University),2025-10-12,"University Chowk, Ganeshkhind Road, Pune, Maharashtra, India",2025,10,Winter,18.5411856,73.830649
Multi-Vehicle Pileup (Rain),2025-09-30,"Near Urse Toll Naka, Expressway, Pune, Maharashtra, India",2025,9,Monsoon,18.7143346,73.62451949999999
Speeding Bike vs Median (Kharadi),2025-09-15,"Kharadi-Mundhwa Bridge, Pune, Maharashtra, India",2025,9,Monsoon,18.5363161,73.9339958
Truck vs Car (Somatane),2025-09-01,"Near Somatane Phata, Old Highway, Pune, Maharashtra, India",2025,9,Monsoon,18.7279114,73.6541512
Pedestrian Fatality (Akurdi),2025-08-22,"Near Akurdi Railway Station, Pune, Maharashtra, India",2025,8,Monsoon,18.6534334,73.7648429
Scooter vs PMPML Bus (Old City),2025-08-10,"Near Shaniwar Wada, Pune, Maharashtra, India",2025,8,Monsoon,18.5263148,73.8517488
Car vs Electric Pole (Balewadi),2025-07-28,"Balewadi High Street, Pune, Maharashtra, India",2025,7,Monsoon,18.5686574,73.7752909
Delivery Executive Fatality (Viman Nagar),2025-07-15,"Near Symbiosis Law School, Pune, Maharashtra, India",2025,7,Monsoon,18.5754928,73.90796379999999
Hit-and-Run (Night Patrol Victim),2025-06-30,"Baner-Pashan Link Road, Pune, Maharashtra, India",2025,6,Monsoon,18.5491621,73.7912816
Heavy Vehicle Peak Hour Crash,2025-06-18,"Chandni Chowk, Pune, Maharashtra, India",2025,6,Monsoon,18.506527,73.7794093
Two-Wheeler Skid on Oil Spill,2025-06-05,"Magarpatta City Main Road, Pune, Maharashtra, India",2025,6,Monsoon,18.5735047,73.8195051
MSRTC Bus vs Private Car (Hadapsar),2025-05-25,"Pune-Solapur Highway, Pune, Maharashtra, India",2025,5,Summer,18.5032043,73.9243079
Speeding Sedan Median Crash,2025-05-12,"Karve Road, near Deccan, Pune, Maharashtra, India",2025,5,Summer,18.5129387,73.8398418
Dumper Truck vs Cyclist (Chakan),2025-05-01,"Chakan-Ambethan Road, Pune, Maharashtra, India",2025,5,Summer,18.7743656,73.8411211
SUV vs Auto Rickshaw (Swargate),2025-04-20,"Swargate Underpass, Pune, Maharashtra, India",2025,4,Summer,18.523999,73.94205199999999
Motorcycle vs Divider (Model Colony),2025-04-05,"Near Deep Bungalow Chowk, Pune, Maharashtra, India",2025,4,Summer,18.5298614,73.83541319999999
Truck Overturn (Ambegaon),2025-03-25,"Near Ambegaon, Bypass Highway, Pune, Maharashtra, India",2025,3,Summer,18.4541483,73.8327617
Pedestrian Hit (Elderly Woman),2025-03-12,"JM Road near Bal Gandharva, Pune, Maharashtra, India",2025,3,Summer,18.5212065,73.8467797
Car Plunges into Canal (Lonikand),2025-03-02,"Lonikand-Shikrapur Road, Pune, Maharashtra, India",2025,3,Summer,18.7627616,74.0965911
Two-Wheeler Run Over by Tanker,2025-02-20,"Moshi High Street, Pune, Maharashtra, India",2025,2,Winter,18.6630139,73.8362408
Hit-and-Run (Morning Walker),2025-02-05,"Koregaon Park Lane 1, Pune, Maharashtra, India",2025,2,Winter,18.5400538,73.9007535
Highway Barrier Crash (Khalapur),2025-01-25,"Khalapur Section (Pune side), Maharashtra, India",2025,1,Winter,18.5150696,73.9023924
Wrong Side Bike Collision (Hinjewadi),2025-01-10,"Hinjewadi Phase 3 Road, Pune, Maharashtra, India",2025,1,Winter,18.623236,73.8695379
Drunk Driving Fatality (Camp),2024-12-28,"Near West End Cinema, Camp, Pune, Maharashtra, India",2024,12,Winter,18.5204303,73.8567437
Truck vs Jeep (Rural),2024-12-15,"Saswad-Jejuri Road, Pune, Maharashtra, India",2024,12,Winter,18.4842269,73.95366
Bus vs Scooterist (Sangamwadi),2024-12-01,"Sangamwadi Bridge, Pune, Maharashtra, India",2024,12,Winter,18.5327338,73.8562782
Multi-Car Pileup (Fog),2024-11-20,"Talegaon Dabhade, Expressway, Pune, Maharashtra, India",2024,11,Winter,18.7322566,73.6696667
Auto Rickshaw Overturn (Market Yard),2024-11-08,"Market Yard Chowk, Pune, Maharashtra, India",2024,11,Winter,18.4876541,73.86836970000002
Speeding Car Hits Barrier (Bavdhan),2024-10-25,"Bavdhan Flyover, Pune, Maharashtra, India",2024,10,Winter,18.513463,73.76985789999999
Motorcycle vs Divider (Vanaz),2024-10-10,"Near Vanaz Metro, Kothrud, Pune, Maharashtra, India",2024,10,Winter,18.5071294,73.8052511
Luxury Bus Brake Failure (Katraj),2024-09-25,"Katraj Ghat Section, Pune, Maharashtra, India",2024,9,Monsoon,18.4216354,73.8601013
Pedestrian Fatality (Nashik Highway),2024-09-12,"Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India",2024,9,Monsoon,18.6325975,73.8499557
Car vs Truck (Lonavala Exit),2024-08-28,"Near Lonavala Exit, Pune, Maharashtra, India",2024,8,Monsoon,18.7779226,73.3983721
Two-Wheeler Fatality (Nagar Road),2024-08-15,"Near Ivy Estate, Wagholi, Pune, Maharashtra, India",2024,8,Monsoon,18.5839924,74.0032037
Hit-and-Run (Delivery Boy),2024-08-01,"Mundhwa-Kharadi Road, Pune, Maharashtra, India",2024,8,Monsoon,18.5324891,73.9328965
Bus vs Two-Wheeler (Swargate),2024-07-18,"Jedhe Chowk, Swargate, Pune, Maharashtra, India",2024,7,Monsoon,18.5005978,73.8584993
Speeding Sedan Median Crash,2024-07-05,"Near Phoenix Mall, Viman Nagar, Pune, Maharashtra, India",2024,7,Monsoon,18.5622429,73.91667559999999
Motorcycle vs Divider (Baner),2024-06-20,"Baner-Balewadi Road, Pune, Maharashtra, India",2024,6,Monsoon,18.5699064,73.7811281
Truck vs Car (Shikrapur),2024-06-05,"Pune-Ahmednagar Highway, Pune, Maharashtra, India",2024,6,Monsoon,18.5621306,73.923209
Two-Wheeler Pothole Fall,2024-05-25,"Near Golf Course, Yerawada, Pune, Maharashtra, India",2024,5,Summer,18.5529226,73.879711
Speeding Car (Station Area),2024-05-10,"Near Pune Railway Station, Pune, Maharashtra, India",2024,5,Summer,18.5212669,73.8689313
Bus Accident (Dehu Road),2024-04-25,"Dehu Road Cantonment, Pune, Maharashtra, India",2024,4,Summer,18.6860277,73.74771419999999
Hit-and-Run (Jyoti Chowk),2024-04-10,"Kondhwa, Pune, Maharashtra, India",2024,4,Summer,18.4695088,73.8889779
Motorcycle vs Dumper (Pimpri),2024-03-25,"Pimpri Grade Separator, Pune, Maharashtra, India",2024,3,Summer,18.6263131,73.805498
Car Median Collision (Baner Link),2024-03-10,"Baner-Pashan Link Road, Pune, Maharashtra, India",2024,3,Summer,18.5491621,73.7912816
Truck vs Jeep (Mulshi),2024-02-25,"Pune-Paud Road, Mulshi, Pune, Maharashtra, India",2024,2,Winter,18.5073253,73.7882575
Two-Wheeler Under Truck (Hadapsar),2024-02-10,"Hadapsar Flyover, Pune, Maharashtra, India",2024,2,Winter,18.5007158,73.93931359999999
Hit-and-Run (Raj Bhavan),2024-01-25,"University Road, Pune, Maharashtra, India",2024,1,Winter,18.5330098,73.8416287
Car vs Electric Pole (Datta Mandir),2024-01-10,"Viman Nagar, Pune, Maharashtra, India",2024,1,Winter,18.5678553,73.9143637
Bus Overturn (Varandha Ghat),2023-12-28,"Bhor, Pune, Maharashtra, India",2023,12,Winter,18.1458199,73.8429847
Bike vs Pedestrian (JM Road),2023-12-15,"Shivajinagar, Pune, Maharashtra, India",2023,12,Winter,18.530263,73.84985879999999
Tanker vs Auto (Loni Kalbhor),2023-12-01,"Pune-Solapur Road, Pune, Maharashtra, India",2023,12,Winter,18.5052652,73.9170244
Motorcycle Skid on Sand,2023-11-18,"Wakad-Hinjewadi Road, Pune, Maharashtra, India",2023,11,Winter,18.5908656,73.7478284
Car Plunges into Gutter,2023-11-05,"Dhanori-Lohegaon Road, Pune, Maharashtra, India",2023,11,Winter,18.5968555,73.8993441
Truck vs Car (Urse Toll),2023-10-25,"Mumbai-Pune Expressway, Pune, Maharashtra, India",2023,10,Winter,18.7693125,73.4043386
Two-Wheeler Hit-and-Run (Kothrud),2023-10-12,"Chandni Chowk, Pune, Maharashtra, India",2023,10,Winter,18.506527,73.7794093
School Bus Median Crash,2023-09-28,"Kondhwa-Katraj Road, Pune, Maharashtra, India",2023,9,Monsoon,18.4530153,73.8891275
Motorcycle vs Dumper (Bakori),2023-09-15,"Wagholi, Pune, Maharashtra, India",2023,9,Monsoon,18.5807719,73.9787063
Car Hits Divider (Phase 2),2023-09-02,"Hinjewadi, Pune, Maharashtra, India",2023,9,Monsoon,18.5912716,73.73890899999999
PMPML Bus Brake Failure (Wada),2023-08-20,"Shaniwar Wada Frontage, Pune, Maharashtra, India",2023,8,Monsoon,18.5195841,73.85542079999999
Truck Overturn (Khed Shivapur),2023-08-05,"Pune-Satara Road, Pune, Maharashtra, India",2023,8,Monsoon,18.4586515,73.8581337
Two-Wheeler Fatality (Akurdi),2023-07-22,"Khandoba Mal, Pune, Maharashtra, India",2023,7,Monsoon,18.6182913,73.85109539999999
Speeding Sedan vs Auto,2023-07-10,"Fatima Nagar Chowk, Pune, Maharashtra, India",2023,7,Monsoon,18.5064875,73.9011094
Highway Barrier Crash (Somatane),2023-06-25,"Old Mumbai-Pune Highway, Pune, Maharashtra, India",2023,6,Monsoon,18.5523134,73.8494254
Motorcycle vs Truck (Moshi),2023-06-12,"Moshi-Chakan Road, Pune, Maharashtra, India",2023,6,Monsoon,18.7386836,73.7529882
Hit-and-Run (MG Road),2023-05-30,"Camp, Pune, Maharashtra, India",2023,5,Summer,18.4989676,73.8957205
Car vs Pedestrian (Aundh),2023-05-15,"Bremen Chowk, Pune, Maharashtra, India",2023,5,Summer,18.559178,73.816039
Bus vs Two-Wheeler (Kondhwa),2023-04-30,"Bibwewadi-Kondhwa Road, Pune, Maharashtra, India",2023,4,Summer,18.4816683,73.8761181
Tanker vs Car (Manjari),2023-04-15,"Pune-Solapur Road, Pune, Maharashtra, India",2023,4,Summer,18.5052652,73.9170244
Motorcycle Skid (Morning Fog),2023-03-30,"Rakshak Chowk, Pune, Maharashtra, India",2023,3,Summer,18.582646,73.7976722
Truck Hits Walk-over Bridge,2023-03-15,"Wadgaon Sheri, Pune, Maharashtra, India",2023,3,Summer,18.5491477,73.918503
Drunk Driver Hit-and-Run (Lane 7),2023-02-28,"Kalyani Nagar, Pune, Maharashtra, India",2023,2,Winter,18.5462313,73.90395099999999
Two-Wheeler Fatal (Cantonment),2023-02-12,"Dehu Road Area, Pune, Maharashtra, India",2023,2,Winter,18.6860277,73.74771419999999
Car Plunges into Ditch (Pirangut),2023-01-30,"Mulshi Road, Pune, Maharashtra, India",2023,1,Winter,18.5057781,73.7675512
Multi-vehicle Pileup (Bypass),2023-01-15,"Navale Bridge, Pune, Maharashtra, India",2023,1,Winter,18.459773,73.8236242
Bus vs Truck (Bhor Ghat),2022-12-28,"Mumbai-Pune Expressway, Pune, Maharashtra, India",2022,12,Winter,18.7693125,73.4043386
Motorcycle vs Auto (New Sangvi),2022-12-15,"Famous Chowk, Pune, Maharashtra, India",2022,12,Winter,18.5797194,73.8120848
Speeding Car Hits Barrier (Highway),2022-11-30,"Pashan-Wakad Highway, Pune, Maharashtra, India",2022,11,Winter,18.5886986,73.7778724
Shirur Midnight Truck-Car Collision,2026-02-14,"Nalge Vasti, Nhavare-Chaufula National Highway, Pune, Maharashtra, India",2026,2,Winter,18.6627708,74.369084
Two-Wheeler Slip (Shirley Anthony Case),2026-02-02,"Bhaji Mandai Chowk, NDA Road, Uttamnagar, Pune, Maharashtra, India",2026,2,Winter,18.4735982,73.7932857
PMPML Bus vs Female Pedestrian,2026-02-02,"Aundh Road, near University Chowk, Pune, Maharashtra, India",2026,2,Winter,18.5627653,73.8266073
Nagar Road Triple Fatality,2026-02-01,"Near Wagholi Phata, Pune-Ahmednagar Road, Pune, Maharashtra, India",2026,2,Winter,18.5936874,73.9230796
Drunk School Bus Driver Crash,2026-02-12,"Bakori Road, Wagholi, Pune, Maharashtra, India",2026,2,Winter,18.5936066,74.0129981
Tanker Overturn (Gas Leak Scare),2026-02-04,"Khandala Ghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India",2026,2,Winter,18.7693125,73.4043386
IT Professional Bike Skid,2026-01-15,"Phase 3 Flyover, Hinjewadi, Pune, Maharashtra, India",2026,1,Winter,18.5868397,73.68599499999999
SUV vs Auto-Rickshaw,2026-01-10,"Moshi-Alandi Road, Pimpri-Chinchwad, Pune, Maharashtra, India",2026,1,Winter,18.6773435,73.862843
MSRTC Bus Hits Median,2026-01-05,"Katraj Tunnel Approach Road, Pune, Maharashtra, India",2026,1,Winter,18.4004638,73.8498874
Pedestrian Run Over (Hit & Run),2025-12-28,"Khadi Machine Chowk, Kondhwa-Saswad Road, Pune, Maharashtra, India",2025,12,Winter,18.452679,73.889955
Multi-Car Pileup (Fog Related),2025-12-20,"Urse Toll Plaza, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,12,Winter,18.7040106,73.6419622
Concrete Mixer Truck Brake Failure,2025-12-15,"Navale Bridge (Self-Correction Point), Pune, Maharashtra, India",2025,12,Winter,18.459773,73.8236242
Wrong-Side Car Collision,2025-12-08,"Pune-Nashik Highway, Bhosari, Pune, Maharashtra, India",2025,12,Winter,18.6325975,73.8499557
College Student High-Speed Bike Crash,2025-11-30,"Pashan-Sus Link Road, Pune, Maharashtra, India",2025,11,Winter,18.5426508,73.7899978
Dumper Truck vs Bicycle (Child Victim),2025-11-22,"Phursungi IT Park Road, Pune, Maharashtra, India",2025,11,Winter,18.4915119,73.954351
Luxury Sedan Divider Crash,2025-11-15,"Senapati Bapat Road, near Marriott Hotel, Pune, Maharashtra, India",2025,11,Winter,18.5304378,73.8299152
Tempo Traveller Overtake Accident,2025-11-05,"Hadapsar-Solapur Road, Pune, Maharashtra, India",2025,11,Winter,18.1550907,74.9708315
Bridge Wall Collision (Two-Wheeler),2025-10-25,"Sangamwadi Bridge, Pune, Maharashtra, India",2025,10,Winter,18.5327338,73.8562782
Garbage Compactor vs Pedestrian,2025-10-18,"Karve Road, Nal Stop Chowk, Pune, Maharashtra, India",2025,10,Winter,18.5084403,73.8311303
Tanker vs Private Bus (Head-on),2025-10-10,"Pune-Satara Road, Khed Shivapur, Pune, Maharashtra, India",2025,10,Winter,18.1190362,73.9872126
Delivery Partner Road Mishap,2025-09-28,"Viman Nagar, near Phoenix Mall, Pune, Maharashtra, India",2025,9,Monsoon,18.5678553,73.9143637
Car Plunges into Canal,2025-09-15,"Loni Kalbhor Canal Road, Pune, Maharashtra, India",2025,9,Monsoon,18.4878505,74.0234138
Pothole-Induced Bike Fall,2025-08-30,"Keshav Nagar, Mundhwa-Manjari Road, Pune, Maharashtra, India",2025,8,Monsoon,18.5269946,73.9520926
Tree Falling on Moving Car,2025-08-12,"Koregaon Park, North Main Road, Pune, Maharashtra, India",2025,8,Monsoon,18.539518,73.89457
School Van vs Mini-Truck,2025-08-05,"Dhayari Phata, Sinhagad Road, Pune, Maharashtra, India",2025,8,Monsoon,18.4571619,73.8033639
Indramani River Bridge Collapse Crash,2025-06-16,"Near Chikhali, Pimpri-Chinchwad, Pune, Maharashtra, India",2025,6,Monsoon,18.6453226,73.83542779999999
Two-Wheeler Fatal Slip (Oil Spill),2025-06-10,"Magarpatta City North Gate Road, Pune, Maharashtra, India",2025,6,Monsoon,18.5158057,73.9271644
Hit-and-Run (Senior Citizen),2025-05-25,"Model Colony, Deep Bungalow Chowk, Pune, Maharashtra, India",2025,5,Summer,18.529886,73.835027
Container Jackknife (10-hr Jam),2025-05-15,"Borghat Section, Mumbai-Pune Expressway, Pune, Maharashtra, India",2025,5,Summer,18.7693125,73.4043386
Bike vs Dumper (Fatal),2025-05-02,"Wagholi, near Lexicon International School, Pune, Maharashtra, India",2025,5,Summer,18.5879393,73.9967764
Car vs Electric Pole,2025-04-20,"Pimple Saudagar, Shivar Garden Road, Pune, Maharashtra, India",2025,4,Summer,18.5949626,73.7860994
Auto-Rickshaw Turtle Turn,2025-04-10,"Swargate Bus Stand Exit, Pune, Maharashtra, India",2025,4,Summer,18.5000482,73.85901319999999
Heavy Vehicle Peak-Hour Violation,2025-03-25,"Baner Phata, Pune, Maharashtra, India",2025,3,Summer,18.5499924,73.80994179999999
Nighttime Sedan Barrier Crash,2025-03-12,"Bavdhan Flyover, Mumbai-Bengaluru Highway, Pune, Maharashtra, India",2025,3,Summer,18.5180063,73.7689289
Pedestrian Fatality (Bhosari),2025-02-28,"Near Landewadi Chowk, Bhosari, Pune, Maharashtra, India",2025,2,Winter,18.619761,73.840763
Car vs Median (Drunk Driving),2025-02-18,"FC Road, near Goodluck Chowk, Pune, Maharashtra, India",2025,2,Winter,18.5175004,73.8416168
Tanker vs Bike (Tail-end),2025-02-05,"Chakan-Talegaon Road, Pune, Maharashtra, India",2025,2,Winter,18.7386836,73.7529882
SUV Overtake Gone Wrong,2025-01-22,"Pune-Solapur Highway, near Yavat, Pune, Maharashtra, India",2025,1,Winter,18.4756082,74.2723261
Motorcycle vs Divider (Speeding),2025-01-10,"Warje Flyover, Pune, Maharashtra, India",2025,1,Winter,18.4805747,73.8039931
Hit-and-Run (Morning Jogger),2024-12-30,"Race Course Road, Camp, Pune, Maharashtra, India",2024,12,Winter,18.5047597,73.8935204
Drunk Driver Rams Food Stall,2024-12-22,"Katraj-Dehu Road Bypass, Near Ambegaon, Pune, Maharashtra, India",2024,12,Winter,18.5612419,73.7687743
Car vs Truck Rear-end Collision,2024-12-12,"Kamshet Tunnel, Mumbai-Pune Expressway, Pune, Maharashtra, India",2024,12,Winter,18.7693125,73.4043386
Two-Wheeler Run Over by Bus,2024-11-30,"Vishrantwadi Chowk, Pune, Maharashtra, India",2024,11,Winter,18.5723961,73.8786076
Diwali Firecracker Road Mishap,2024-11-03,"Ravet, near Mukai Chowk, Pimpri-Chinchwad, Pune, Maharashtra, India",2024,11,Winter,18.6606495,73.73215850000001
Audi Hit-and-Run (Delivery Boy),2024-10-12,"Mundhwa-Koregaon Park Road, Pune, Maharashtra, India",2024,10,Winter,18.5343675,73.8856909
Luxury Bus vs Small Car,2024-10-01,"Pashan-Sus Road, Pune, Maharashtra, India",2024,10,Winter,18.5454191,73.7777885
Motorcycle Head-on Collision,2024-09-15,"Paud Road, Bhugaon, Pune, Maharashtra, India",2024,9,Monsoon,18.5008149,73.7509874
Truck Brake Failure (Navale Bridge),2024-09-05,"Katraj-Dehu Road Bypass, Pune, Maharashtra, India",2024,9,Monsoon,18.5057992,73.7920547
Bike Skid on Wet Road,2024-08-20,"Law College Road, Pune, Maharashtra, India",2024,8,Monsoon,18.5142526,73.8287151
Dumper vs Pedestrian,2024-08-10,"Alandi Road, Kalas, Pune, Maharashtra, India",2024,8,Monsoon,18.5871025,73.8752157
Car vs Divider (World Trade Center),2024-07-25,"Kharadi-Mundhwa Road, Pune, Maharashtra, India",2024,7,Monsoon,18.5311287,73.9140811
School Van Collision (Minor Injuries),2024-07-15,"Bibwewadi, Pune, Maharashtra, India",2024,7,Monsoon,18.4690213,73.8640944
Tanker Overturn (Khandala),2024-06-30,"Amrutanjan Bridge, Mumbai-Pune Expressway, Pune, Maharashtra, India",2024,6,Monsoon,18.7665756,73.3597925
Two-Wheeler Pothole Fall,2024-06-20,"Yerawada, near Golf Course Road, Pune, Maharashtra, India",2024,6,Monsoon,18.553218,73.8848221
Porsche Speeding Crash (Echo Case),2024-05-19,"Kalyani Nagar, Pune, Maharashtra, India",2024,5,Summer,18.5462313,73.90395099999999
Car Plunges into River (Sangamwadi),2024-05-10,"Sangamwadi-Yerawada Bridge, Pune, Maharashtra, India",2024,5,Summer,18.5420178,73.8852113
Truck vs Car (Shikrapur),2024-04-30,"Pune-Ahmednagar Road, Shikrapur, Pune, Maharashtra, India",2024,4,Summer,18.5621306,73.923209
Motorcycle vs Divider (Kothrud),2024-04-15,"Karve Road, Kothrud, Pune, Maharashtra, India",2024,4,Summer,18.5027444,73.818564
Bus vs Rickshaw (Swargate),2024-03-30,"Jedhe Chowk, Swargate, Pune, Maharashtra, India",2024,3,Summer,18.5005978,73.8584993
Hit-and-Run (Satara Road),2024-03-20,"Near Balajinagar, Satara Road, Pune, Maharashtra, India",2024,3,Summer,18.4646316,73.8602841
Car vs Truck Rear-end (Expressway),2024-03-05,"Near Lonavala Exit, Pune, Maharashtra, India",2024,3,Summer,18.7779226,73.3983721
Two-Wheeler Run Over (Chakan),2024-02-22,"Chakan-Ambethan Road, Pune, Maharashtra, India",2024,2,Winter,18.7743656,73.8411211
Private Bus Brake Failure,2024-02-12,"Katraj Ghat Section, Pune, Maharashtra, India",2024,2,Winter,18.4216354,73.8601013
Auto Rickshaw Overturn (Station),2024-01-28,"Near Pune Railway Station, Pune, Maharashtra, India",2024,1,Winter,18.5212669,73.8689313
Wrong-Side Bike Collision,2024-01-15,"Hinjewadi Phase 1, Shivaji Chowk, Pune, Maharashtra, India",2024,1,Winter,18.5904779,73.7271909
Dumper vs Motorcycle (Pimpri),2023-12-30,"Pimpri Grade Separator Road, Pune, Maharashtra, India",2023,12,Winter,18.6263131,73.805498
Car Median Collision (Baner),2023-12-15,"Baner-Balewadi Road, Pune, Maharashtra, India",2023,12,Winter,18.5699064,73.7811281
Truck vs Jeep (Rural),2023-11-30,"Pune-Paud Road, Mulshi, Pune, Maharashtra, India",2023,11,Winter,18.5073253,73.7882575
Two-Wheeler Under Truck (Hadapsar),2023-11-18,"Hadapsar Flyover, Pune, Maharashtra, India",2023,11,Winter,18.5007158,73.93931359999999
Hit-and-Run (University Road),2023-11-05,"Near Raj Bhavan Gate, Pune, Maharashtra, India",2023,11,Winter,18.5175318,73.87164899999999
Car vs Electric Pole (Viman Nagar),2023-10-25,"Datta Mandir Chowk, Viman Nagar, Pune, Maharashtra, India",2023,10,Winter,18.5655222,73.91315759999999
Bus Overturn (Bhor),2023-10-10,"Varandha Ghat Road, Bhor, Pune, Maharashtra, India",2023,10,Winter,18.1111733,73.6670292
Bike vs Pedestrian (Shivajinagar),2023-09-28,"J.M. Road, Pune, Maharashtra, India",2023,9,Monsoon,18.5212065,73.8467797
Tanker vs Auto (Loni Kalbhor),2023-09-15,"Pune-Solapur Road, Pune, Maharashtra, India",2023,9,Monsoon,18.5052652,73.9170244
Motorcycle Skid on Sand,2023-09-02,"Wakad-Hinjewadi Road, Pune, Maharashtra, India",2023,9,Monsoon,18.5908656,73.7478284
